20 31
1 11 18
1 20 13
2 9 1
2 10 7
3 1 10
3 2 12
3 4 3
3 11 8
3 14 4
4 15 19
7 17 1
8 5 4
8 9 7
9 1 7
11 8 3
12 16 13
13 6 8
13 10 6
14 7 0
14 10 2
14 11 2
15 9 14
15 11 7
17 3 8
17 17 12
18 1 3
19 7 4
20 4 1
20 5 1
20 14 10
20 20 12
14 7 0
14 7 0
2 9 1
2 9 1
20 4 1
20 4 1
7 17 1
7 17 1
20 5 1
20 5 1
14 11 2
14 11 2
14 10 2
14 10 2
18 1 3
18 1 3
3 4 3
3 4 3
11 8 3
11 8 3
19 7 4
19 7 4
3 14 4
3 14 4
8 5 4
13 10 6
13 10 6
9 1 7
9 1 7
15 11 7
15 11 7
8 9 7
8 9 7
2 10 7
13 6 8
13 6 8
3 11 8
17 3 8
20 14 10
3 1 10
3 2 12
17 17 12
20 20 12
12 16 13
12 16 13
1 20 13
15 9 14
1 11 18
4 15 19
